Razón Social ó Nombre,RNT,Municipio / Dpto,Estado
ESTARTER ACACIAS,49739,ACACIAS - Meta,Suspendido
HOTEL ACACIAS SUITES,45993,ACACIAS - Meta,Activo
HOTEL ACAPULCO ACACIAS,45037,ACACIAS - Meta,Pendiente Actualización
HOTEL AMANECER LLANERO DE ACACIAS,20936,ACACIAS - Meta,Pendiente Actualización
HOTEL BOUTIQUE PALMA REAL  ACACIAS,40251,ACACIAS - Meta,Activo
HOTEL MIRAFLORES ACACIAS,27751,ACACIAS - Meta,Suspendido
SANTA HELENA ACACIAS HOTEL,13226,ACACIAS - Meta,Pendiente Actualización
TODO TERRENO TOURS ACACIAS SAS,55057,ACACIAS - Meta,Activo
TVHA  ACACIAS,52281,ACACIAS - Meta,Pendiente Actualización
VISUAL TOURS DE ACACIAS,25675,ACACIAS - Meta,Suspendido
HOTEL CAMINO REAL BARRANCA DE UPIA,34277,BARRANCA DE UPIA - Meta,Pendiente Actualización
HOTEL MIRADOR PLAZA - CABUYARO META,29211,CABUYARO - Meta,Pendiente Actualización
HOTEL BRISAS DEL META,27139,CABUYARO - Meta,Activo
HOTEL MIRADOR PLAZA - CABUYARO META,29211,CABUYARO - Meta,Pendiente Actualización
HOTEL CAMPESTRE CUMARAL,30430,CUMARAL - Meta,Suspendido
HOTEL CAMPESTRE CUMARAL COUNTRY,51574,CUMARAL - Meta,Pendiente Actualización
HOTEL EL TRIUNFO DE CUMARAL,44240,CUMARAL - Meta,Activo
HOTEL LA FONTANA CUMARAL,17049,CUMARAL - Meta,Pendiente Actualización
HOTEL SAN FRANCISCO CUMARAL,41645,CUMARAL - Meta,Pendiente Actualización
HOTEL SAN JACINTO CUMARAL,26065,CUMARAL - Meta,Activo
ZAFFARI META,34911,GRANADA - Meta,Suspendido
HOTEL SOL DEL META,40253,PUERTO GAITAN - Meta,Activo
HOTEL LA GRAN POSADA LLANERA,49741,PUERTO GAITAN - Meta,Activo
VIAJES CAMARITA OPERADORA DEL META,48058,VILLAVICENCIO - Meta,Suspendido
GRAN HOTEL DEL COMERCIO,6879,VILLAVICENCIO - Meta,Activo
HOTEL GRAN RESERVA,20190,VILLAVICENCIO - Meta,Pendiente Actualización
HOTEL LA GRAN NOCHE,37210,VISTA HERMOSA - Meta,Pendiente Actualización
EXCURSIONES NUEVOS HORIZONTES GRANADA,12131,GRANADA - Meta,Suspendido
GRAN HOTEL PANORAMA,36580,GRANADA - Meta,Suspendido
HOTEL CASA BLANCA DE GRANADA,16740,GRANADA - Meta,Activo
TVHA GRANADA,50834,GRANADA - Meta,Pendiente Actualización
EXCURSIONES NUEVOS HORIZONTES GRANADA,12131,GRANADA - Meta,Suspendido
GRAN HOTEL PANORAMA,36580,GRANADA - Meta,Suspendido
HOTEL CASA BLANCA DE GRANADA,16740,GRANADA - Meta,Activo
TVHA GRANADA,50834,GRANADA - Meta,Pendiente Actualización
COOPERATIVA DE TRANSPORTE SUMAPAZ GUAMAL,41725,GUAMAL - Meta,Activo
HOTEL CASA GRANDE GUAMAL,26363,GUAMAL - Meta,Activo
HOTEL CENTRO TURISTICO PARAISO DEL LLANO DE GUAMAL,15999,GUAMAL - Meta,Activo
HOTEL LOS POTRILLOS GUAMAL,34933,GUAMAL - Meta,Suspendido
